Student_ID,Name,Age,Gender,Maths,Science,English,Attendance,Grade
101,Asha,18,Female,85,90,88,95,A
102,Rahul,19,Male,78,82,80,90,B
103,Priya,18,Female,92,95,94,98,A+
104,Arun,19,Male,65,70,68,85,C
105,Sneha,18,Female,88,91,85,92,A
106,Kiran,20,Male,72,75,70,88,B
107,Divya,18,Female,95,98,96,99,A+
108,Ravi,19,Male,60,65,62,80,C
109,Anu,18,Female,82,85,80,93,B
110,Manoj,20,Male,75,,78,87,B
111,Neha,18,Female,,89,91,94,A
112,Vijay,19,Male,68,72,,82,C
113,Pooja,18,Female,90,93,95,,A+
114,Suresh,20,Male,55,60,58,75,D
115,Meena,18,Female,87,90,86,96,A
116,Asha,18,Female,85,90,88,95,A
117,Rahul,19,Male,78,82,80,90,B
118,Geetha,,Female,80,84,82,91,B
